Entity,Year,Patent application rates (OWID based on World Bank & UN),"Patent application rates, nonresidents (OWID based on World Bank & UN)",Scientific and technical journal publication rates (OWID based on World Bank & UN),"Patent application rates, aged 15+ (OWID based on World Bank & UN)","Patent application rates, aged 15+, nonresidents (OWID based on World Bank & UN)","Scientific and technical journal publication rates, aged 15+ (OWID based on World Bank & UN)"
Brazil,2011,23.63,120.562,217.521,0.314,1.604,2.895
Brazil,2012,23.923,127.826,235.849,0.316,1.691,3.12
Brazil,2013,24.5,128.082,240.218,0.322,1.685,3.16
Brazil,2014,22.814,125.766,,0.298,1.645,
Brazil,2015,22.533,124.188,,0.293,1.613,
Brunei,1993,,312.333,,,4.713,
Brunei,1994,,141.611,,,2.125,
Brunei,1995,,141.323,,,2.108,
Brunei,1996,,68.92,,,1.023,
Brunei,1997,,134.599,,,1.985,
Brunei,1998,,100.244,,,1.467,
Brunei,1999,,104.202,,,1.513,
Brunei,2000,,63.017,96.627,,0.907,1.391
Brunei,2001,,61.743,49.689,,0.882,0.71
Brunei,2002,,60.542,68.326,,0.857,0.968
Brunei,2003,,121.679,95.079,,1.709,1.335
Brunei,2004,,86.225,77.881,,1.202,1.085
Brunei,2005,,71.202,82.43,,0.985,1.14
Brunei,2006,,110.736,91.02,,1.522,1.251
Brunei,2007,,170.729,111.774,,2.33,1.526
Brunei,2008,,197.758,116.018,,2.68,1.572
Brunei,2009,,109.44,118.56,,1.473,1.596
Brunei,2010,,,122.729,,,1.643
Brunei,2011,,,196.948,,,2.616
Brunei,2012,50.032,27.517,262.916,0.661,0.363,3.472
Brunei,2013,49.296,36.972,296.266,0.648,0.486,3.894
Brunei,2014,63.152,221.033,,0.826,2.891,
Bulgaria,1985,0.223,27.677,,0.003,0.353,
Bulgaria,1986,0.112,23.554,,0.001,0.3,
Bulgaria,1987,0.334,34.666,,0.004,0.44,
Bulgaria,1988,0.668,28.169,,0.008,0.356,
Bulgaria,1989,7.097,30.078,,0.089,0.379,
Bulgaria,1990,22.711,37.966,,0.285,0.476,
Bulgaria,1991,48.886,37.765,,0.611,0.472,
Bulgaria,1992,38.524,41.1,,0.479,0.511,
Bulgaria,1993,48.629,17.941,,0.6,0.221,
Bulgaria,1994,37.78,62.888,,0.463,0.771,
Bulgaria,1995,43.778,43.183,,0.533,0.526,
Bulgaria,1996,37.786,48.668,,0.457,0.589,
Bulgaria,1997,47.401,64.725,,0.571,0.779,
Bulgaria,1998,33.185,63.463,,0.398,0.76,
Bulgaria,1999,34.346,75.025,,0.41,0.895,
Bulgaria,2000,28.274,86.779,186.948,0.335,1.029,2.217
Bulgaria,2001,35.335,98.013,185.076,0.417,1.156,2.183
Bulgaria,2002,36.876,93.784,187.747,0.433,1.1,2.202
Bulgaria,2003,35.754,87.456,193.741,0.417,1.02,2.261
Bulgaria,2004,34.081,17.235,207.727,0.396,0.2,2.413
Bulgaria,2005,34.078,6.789,248.741,0.395,0.079,2.881
Bulgaria,2006,31.969,6.315,233.85,0.369,0.073,2.702
Bulgaria,2007,27.964,3.711,314.313,0.323,0.043,3.628
Bulgaria,2008,33.233,2.936,302.887,0.384,0.034,3.497
Bulgaria,2009,32.507,3.224,329.508,0.376,0.037,3.807
Bulgaria,2010,32.857,2.299,338.728,0.38,0.027,3.917
Bulgaria,2011,35.654,2.858,331.273,0.413,0.033,3.838
Bulgaria,2012,33.535,1.916,366.663,0.389,0.022,4.253
Bulgaria,2013,38.816,2.065,368.514,0.451,0.024,4.278
Bulgaria,2014,30.177,2.215,,0.351,0.026,
Bulgaria,2015,39.008,1.532,,0.454,0.018,
Burkina Faso,1998,0.182,,,0.003,,
Burkina Faso,1999,0.355,,,0.007,,
Burkina Faso,2000,0.172,,4.256,0.003,,0.08
Burkina Faso,2001,,,4.621,,,0.087
Burkina Faso,2002,,,5.971,,,0.112
Burkina Faso,2003,0.079,,6.132,0.001,,0.115
Burkina Faso,2004,0.153,,5.579,0.003,,0.104
Burkina Faso,2005,0.075,,5.58,0.001,,0.104
Burkina Faso,2006,,,7.723,,,0.144
Burkina Faso,2007,,,8.132,,,0.152
Burkina Faso,2008,,,8.332,,,0.156
Burkina Faso,2009,,,9.279,,,0.173
Burkina Faso,2010,0.128,,8.593,0.002,,0.16
Burkina Faso,2011,,,10.478,,,0.195
Burkina Faso,2012,,,12.962,,,0.241
Burkina Faso,2013,,,10.367,,,0.192
Burundi,1986,,0.413,,,0.008,
Burundi,1989,0.189,0.189,,0.004,0.004,
Burundi,1990,,0.554,,,0.011,
Burundi,1992,,0.353,,,0.007,
Burundi,1993,,0.173,,,0.003,
Burundi,1994,,0.681,,,0.013,
Burundi,1995,,0.168,,,0.003,
Burundi,1996,0.166,0.662,,0.003,0.013,
Burundi,2000,,,0.062,,,0.001
Burundi,2001,,,0.549,,,0.011
Burundi,2002,,,0.089,,,0.002
Burundi,2003,,,0.647,,,0.012
Burundi,2004,,,0.557,,,0.01
Burundi,2005,,,0.377,,,0.007
Burundi,2006,,,0.56,,,0.01
Burundi,2007,,,0.693,,,0.013
Burundi,2008,,,0.304,,,0.005
Burundi,2009,,,0.412,,,0.007
Burundi,2010,,,1.46,,,0.026
Burundi,2011,,,0.995,,,0.018
Burundi,2012,,,1.159,,,0.021
Burundi,2013,,,1.698,,,0.031
Cambodia,2000,,,1.07,,,0.018
Cambodia,2001,,,1.048,,,0.018
Cambodia,2002,,,1.915,,,0.032
Cambodia,2003,,,1.898,,,0.031
Cambodia,2004,,,2.786,,,0.045
Cambodia,2005,,,2.773,,,0.044
Cambodia,2006,,,3.399,,,0.053
Cambodia,2007,,0.951,3.722,,0.015,0.058
Cambodia,2008,,2.81,3.66,,0.043,0.056
Cambodia,2009,,1.987,4.336,,0.03,0.066
Cambodia,2010,,1.817,4.046,,0.027,0.061
Cambodia,2011,,2.958,4.636,,0.044,0.069
Cambodia,2012,,3.587,5.157,,0.053,0.076
Cambodia,2013,0.067,4.926,5.592,0.001,0.073,0.082
Cambodia,2014,0.131,4.256,,0.002,0.062,
Cambodia,2015,,4.189,,,0.061,
Cameroon,2000,,,7.732,,,0.141
Cameroon,2001,,,8.774,,,0.16
Cameroon,2002,,,10.469,,,0.19
Cameroon,2003,,,11.935,,,0.216
Cameroon,2004,,,12.241,,,0.221
Cameroon,2005,,,16.17,,,0.29
Cameroon,2006,,,18.531,,,0.332
Cameroon,2007,,,19.934,,,0.356
Cameroon,2008,,,18.131,,,0.323
Cameroon,2009,,,19.123,,,0.339
Cameroon,2010,,,20.1,,,0.355
Cameroon,2011,,,21.968,,,0.387
Cameroon,2012,,,21.682,,,0.381
Cameroon,2013,,,24.326,,,0.426
Canada,1985,80.641,982.268,,1.025,12.48,
Canada,1986,82.468,976.797,,1.046,12.389,
Canada,1987,95.179,1001.808,,1.205,12.685,
Canada,1988,103.067,1073.397,,1.303,13.57,
Canada,1989,110.705,1170.97,,1.398,14.784,
Canada,1990,91.72,877.083,,1.157,11.061,
Canada,1991,77.454,748.873,,0.976,9.439,
Canada,1992,98.424,804.71,,1.24,10.141,
Canada,1993,125.653,808.333,,1.583,10.182,
Canada,1994,85.189,847.866,,1.072,10.67,
Canada,1995,82.817,823.091,,1.04,10.339,
Canada,1996,87.052,842.11,,1.092,10.562,
Canada,1997,111.514,841.626,,1.395,10.527,
Canada,1998,125.926,997.193,,1.569,12.428,
Canada,1999,133.151,1088.192,,1.653,13.511,
Canada,2000,136.075,1151.62,1010.51,1.683,14.247,12.501
Canada,2001,127.502,1150.284,996.5,1.571,14.173,12.278
Canada,2002,126.236,1140.935,1070.289,1.55,14.008,13.14
Canada,2003,124.037,1051.238,1128.302,1.518,12.863,13.806
Canada,2004,163.494,1030.474,1261.885,1.993,12.564,15.385
Canada,2005,160.405,1074.059,1420.033,1.948,13.046,17.249
Canada,2006,169.54,1121.137,1472.308,2.053,13.573,17.824
Canada,2007,151.971,1068.264,1552.193,1.834,12.891,18.731
Canada,2008,152.23,1113.766,1573.141,1.831,13.4,18.926
Canada,2009,150.675,963.764,1614.645,1.808,11.565,19.375
Canada,2010,133.803,908.653,1629.753,1.602,10.878,19.512
Canada,2011,138.428,883.941,1641.807,1.656,10.572,19.637
Canada,2012,135.509,878.634,1681.133,1.618,10.494,20.078
Canada,2013,129.909,858.302,1644.032,1.549,10.235,19.605
Canada,2014,118.105,880.106,,1.407,10.482,
Canada,2015,119.307,911.807,,1.42,10.851,
Cape Verde,2000,,,0.69,,,0.012
Cape Verde,2001,,,0.451,,,0.008
Cape Verde,2002,,,0.442,,,0.008
Cape Verde,2003,,,5.216,,,0.087
Cape Verde,2004,,,0.641,,,0.011
Cape Verde,2005,,,0.843,,,0.014
Cape Verde,2006,,,8.528,,,0.134
Cape Verde,2007,,,2.467,,,0.038
Cape Verde,2008,,,4.271,,,0.065
Cape Verde,2009,,,9.86,,,0.147
Cape Verde,2010,,,6.171,,,0.091
Cape Verde,2011,,,4.724,,,0.069
Cape Verde,2012,,,7.782,,,0.113
Cape Verde,2013,,,15.381,,,0.221
Caribbean small states,1992,,23.35,,,0.353,
Caribbean small states,2000,,,36.066,,,0.525
Caribbean small states,2001,,,46.719,,,0.675
Caribbean small states,2002,,,45.95,,,0.66
Caribbean small states,2003,,,50.141,,,0.715
Caribbean small states,2004,,53.898,54.233,,0.764,0.769
Caribbean small states,2005,,55.162,58.259,,0.777,0.821
Caribbean small states,2006,,72.721,54.446,,1.017,0.762
Caribbean small states,2007,,92.1,66.36,,1.279,0.922
Caribbean small states,2008,,78.169,68.783,,1.079,0.949
Caribbean small states,2009,,,75.297,,,1.032
Caribbean small states,2010,,,65.578,,,0.892
Caribbean small states,2011,,,75.686,,,1.023
Caribbean small states,2012,,72.659,77.324,,0.975,1.038
Caribbean small states,2013,,67.567,68.817,,0.901,0.917
Caribbean small states,2014,5.585,76.927,,0.074,1.019,
Caribbean small states,2015,,45.108,,,0.594,
Central African Republic,2000,,,1.332,,,0.023
Central African Republic,2001,,,1.305,,,0.023
Central African Republic,2002,,,0.921,,,0.016
Central African Republic,2003,,,2.311,,,0.04
Central African Republic,2004,,,2.195,,,0.038
Central African Republic,2005,,,2.326,,,0.04
Central African Republic,2006,,,3.118,,,0.053
Central African Republic,2007,,,1.988,,,0.034
Central African Republic,2008,,,2.255,,,0.038
Central African Republic,2009,,,2.293,,,0.039
Central African Republic,2010,,,3.215,,,0.054
Central African Republic,2011,,,2.994,,,0.05
Central African Republic,2012,,,2.338,,,0.039
Central African Republic,2013,,,2.622,,,0.043
Central Europe and the Baltics,1985,111.841,26.774,,1.473,0.353,
Central Europe and the Baltics,1986,115.87,25.08,,1.523,0.33,
Central Europe and the Baltics,1987,124.528,27.208,,1.635,0.357,
Central Europe and the Baltics,1988,136.988,25.531,,1.796,0.335,
Central Europe and the Baltics,1989,125.287,26.778,,1.638,0.35,
Central Europe and the Baltics,1990,86.08,35.451,,1.121,0.462,
Central Europe and the Baltics,1991,73.316,32.396,,0.951,0.42,
Central Europe and the Baltics,1992,64.069,48.761,,0.826,0.629,
Central Europe and the Baltics,1993,74.009,77.815,,0.948,0.997,
Central Europe and the Baltics,1994,69.66,78.222,,0.887,0.995,
Central Europe and the Baltics,1995,69.837,79.754,,0.883,1.008,
Central Europe and the Baltics,1996,64.118,82.519,,0.805,1.036,
Central Europe and the Baltics,1997,62.873,114.116,,0.784,1.423,
Central Europe and the Baltics,1998,58.705,118.271,,0.728,1.466,
Central Europe and the Baltics,1999,53.739,149.685,,0.662,1.844,
Central Europe and the Baltics,2000,55.901,164.244,275.828,0.684,2.009,3.374
Central Europe and the Baltics,2001,57.625,160.686,288.773,0.7,1.952,3.509
Central Europe and the Baltics,2002,61.523,174.588,315.643,0.743,2.107,3.81
Central Europe and the Baltics,2003,55.151,138.693,338.733,0.661,1.663,4.062
Central Europe and the Baltics,2004,57.286,89.54,381.581,0.683,1.068,4.55
Central Europe and the Baltics,2005,52.376,59.412,442.366,0.622,0.705,5.25
Central Europe and the Baltics,2006,52.738,13.853,471.666,0.624,0.164,5.577
Central Europe and the Baltics,2007,56.813,9.507,518.811,0.67,0.112,6.119
Central Europe and the Baltics,2008,59.737,7.305,588.687,0.703,0.086,6.932
Central Europe and the Baltics,2009,66.21,5.776,622.355,0.779,0.068,7.321
Central Europe and the Baltics,2010,73.156,5.232,668.586,0.86,0.062,7.859
Central Europe and the Baltics,2011,79.31,5.203,710.203,0.932,0.061,8.349
Central Europe and the Baltics,2012,76.423,6.071,742.665,0.898,0.071,8.73
Central Europe and the Baltics,2013,76.354,4.811,774.121,0.897,0.057,9.097
Central Europe and the Baltics,2014,69.742,4.783,,0.82,0.056,
Central Europe and the Baltics,2015,77.902,4.203,,0.916,0.049,
Chad,2000,,,0.18,,,0.004
Chad,2001,,,0.289,,,0.006
Chad,2002,,,0.467,,,0.009
Chad,2003,,,0.503,,,0.01
Chad,2004,,,1.03,,,0.02
Chad,2005,,,0.934,,,0.018
Chad,2006,,,1.056,,,0.021
Chad,2007,,,0.51,,,0.01
Chad,2008,,,0.611,,,0.012
Chad,2009,,,0.826,,,0.016
Chad,2010,,,0.53,,,0.01
Chad,2011,,,0.724,,,0.014
Chad,2012,,,0.472,,,0.009
Chad,2013,,,0.533,,,0.01
Chile,1985,10.016,45.152,,0.144,0.65,
Chile,1986,7.752,47.803,,0.111,0.685,
Chile,1987,8.575,49.309,,0.122,0.704,
Chile,1988,8.666,48.56,,0.123,0.691,
Chile,1989,10.364,52.358,,0.147,0.743,
Chile,1990,12.762,48.482,,0.181,0.686,
Chile,1991,11.221,62.271,,0.158,0.879,
Chile,1992,13.02,69.417,,0.183,0.977,
Chile,1993,11.165,84.926,,0.157,1.191,
Chile,1994,15.541,100.629,,0.217,1.407,
Chile,1995,11.961,107.368,,0.167,1.496,
Chile,1996,12.14,122.156,,0.168,1.695,
Chile,1997,10.956,164.071,,0.151,2.267,
Chile,1998,13.904,172.491,,0.191,2.373,
Chile,1999,13.531,172.979,,0.185,2.369,
Chile,2000,15.79,188.629,96.87,0.215,2.568,1.319
Chile,2001,15.928,162.124,101.315,0.216,2.195,1.371
Chile,2002,25.026,137.42,124.478,0.337,1.848,1.674
Chile,2003,20.823,131.396,126.732,0.278,1.755,1.692
Chile,2004,23.914,155.567,141.213,0.317,2.063,1.873
Chile,2005,22.357,163.869,156.103,0.294,2.158,2.056
Chile,2006,17.831,179.169,187.723,0.233,2.346,2.458
Chile,2007,24.437,206.346,206.152,0.318,2.685,2.683
Chile,2008,31.869,205.318,229.589,0.412,2.656,2.971
Chile,2009,20.381,81.643,243.835,0.262,1.05,3.137
Chile,2010,19.302,44.017,247.067,0.247,0.563,3.162
Chile,2011,19.763,143.004,269.178,0.252,1.822,3.429
Chile,2012,19.411,154.999,295.544,0.246,1.965,3.748
Chile,2013,19.47,156.445,295.345,0.246,1.975,3.729
Chile,2014,25.662,150.621,,0.323,1.894,
Chile,2015,24.94,159.379,,0.312,1.996,
China,1985,3.868,4.275,,0.056,0.062,
China,1986,3.275,4.232,,0.047,0.061,
China,1987,3.667,3.767,,0.052,0.054,
China,1988,4.339,4.423,,0.062,0.063,
China,1989,4.245,4.389,,0.06,0.062,
China,1990,5.137,3.792,,0.072,0.053,
China,1991,6.406,3.52,,0.09,0.049,
China,1992,8.603,3.766,,0.121,0.053,
China,1993,10.254,6.393,,0.143,0.089,
China,1994,9.39,6.608,,0.13,0.092,
China,1995,8.309,7.211,,0.115,0.1,
China,1996,9.55,9.128,,0.131,0.125,
China,1997,10.302,9.838,,0.141,0.134,
China,1998,11.072,27.091,,0.15,0.368,
China,1999,12.474,27.474,,0.168,0.37,
China,2000,20.074,21.035,37.453,0.268,0.281,0.5
China,2001,23.618,26.27,46.713,0.312,0.347,0.616
China,2002,31.089,31.573,47.725,0.405,0.411,0.621
China,2003,44.062,37.681,55.195,0.566,0.484,0.709
China,2004,50.758,49.841,82.437,0.643,0.631,1.044
China,2005,71.706,61.242,120.107,0.897,0.766,1.503
China,2006,93.3,67.263,138.587,1.158,0.835,1.719
China,2007,116.141,69.885,157.203,1.429,0.86,1.935
China,2008,146.89,71.912,181.202,1.795,0.879,2.214
China,2009,172.09,64.231,209.536,2.092,0.781,2.547
China,2010,219.081,73.343,228.621,2.653,0.888,2.768
China,2011,309.367,82.271,261.48,3.736,0.994,3.158
China,2012,396.324,86.966,275.442,4.782,1.049,3.324
China,2013,519.336,88.553,295.742,6.269,1.069,3.57
China,2014,587.226,93.121,,7.093,1.125,
China,2015,706.124,97.44,,8.531,1.177,
Colombia,1985,2.322,14.22,,0.037,0.229,
Colombia,1986,2.558,12.757,,0.041,0.204,
Colombia,1987,1.609,16.458,,0.026,0.262,
Colombia,1988,2.578,12.737,,0.041,0.202,
Colombia,1989,2.677,15.346,,0.042,0.242,
Colombia,1991,2.434,15.093,,0.038,0.236,
Colombia,1992,3.375,16.17,,0.052,0.251,
Colombia,1993,3.813,21.246,,0.059,0.328,
Colombia,1994,3.367,23.545,,0.052,0.361,
Colombia,1995,3.766,29.192,,0.057,0.444,
Colombia,1996,2.287,30.802,,0.035,0.466,
Colombia,1997,2.07,38.737,,0.031,0.581,
Colombia,1998,4.104,42.565,,0.061,0.632,
Colombia,1999,1.708,40.558,,0.025,0.597,
Colombia,2000,1.856,41.927,12.627,0.027,0.612,0.184
Colombia,2001,1.586,10.539,12.337,0.023,0.153,0.179
Colombia,2002,1.299,20.639,15.611,0.019,0.297,0.224
Colombia,2003,1.945,26.736,15.527,0.028,0.382,0.222
Colombia,2004,1.779,31.949,18.839,0.025,0.453,0.267
Colombia,2005,2.287,38.396,22.326,0.032,0.54,0.314
Colombia,2006,3.239,42.454,30.71,0.045,0.594,0.429
Colombia,2007,2.885,41.961,35.275,0.04,0.582,0.49
Colombia,2008,2.806,40.489,52.88,0.039,0.558,0.728
Colombia,2009,2.818,34.151,58.669,0.039,0.467,0.802
Colombia,2010,2.896,37.872,67.799,0.039,0.515,0.921
Colombia,2011,3.943,38.141,73.39,0.053,0.515,0.991
Colombia,2012,4.543,39.419,86.783,0.061,0.529,1.165
Colombia,2013,5.302,37.619,94.12,0.071,0.502,1.257
Colombia,2014,5.44,39.714,,0.072,0.527,
Colombia,2015,6.656,39.831,,0.088,0.526,
Comoros,2000,,,1.844,,,0.033
Comoros,2001,,,0.36,,,0.006
Comoros,2002,,,0.351,,,0.006
Comoros,2003,,,0.514,,,0.009
Comoros,2004,,,2.009,,,0.035
Comoros,2005,,,1.471,,,0.026
Comoros,2006,,,0.319,,,0.006
Comoros,2007,,,3.273,,,0.056
Comoros,2008,,,1.065,,,0.018
Comoros,2009,,,1.188,,,0.02
Comoros,2010,,,3.19,,,0.054
Comoros,2011,,,5.52,,,0.094
Comoros,2012,,,2.21,,,0.037
Comoros,2013,,,18.746,,,0.316
Congo,1986,2.285,37.019,,0.041,0.667,
Congo,1988,8.22,23.796,,0.147,0.426,
Congo,1994,,7.714,,,0.135,
Congo,1995,,5.359,,,0.093,
Congo,1996,,9.378,,,0.162,
Congo,2000,,,7.192,,,0.123
Congo,2001,,,6.243,,,0.107
Congo,2002,,,9.186,,,0.158
Congo,2003,,,13.39,,,0.23
Congo,2004,,,13.036,,,0.224
Congo,2005,,,17.508,,,0.302
Congo,2006,,,16.526,,,0.285
Congo,2007,,,18.51,,,0.319
Congo,2008,,,18.2,,,0.314
Congo,2009,,,16.691,,,0.288
Congo,2010,,,20.927,,,0.361
Congo,2011,,,21.096,,,0.366
Congo,2012,,,24.647,,,0.428
Congo,2013,,,28.792,,,0.501
Costa Rica,1986,6.783,19.279,,0.105,0.298,
Costa Rica,1987,4.178,11.489,,0.064,0.177,
Costa Rica,1988,3.396,12.905,,0.052,0.199,
Costa Rica,1989,4.637,8.943,,0.072,0.138,
Costa Rica,1990,8.075,13.243,,0.124,0.204,
Costa Rica,1993,8.68,27.237,,0.132,0.415,
Costa Rica,2000,,,30.137,,,0.435
Costa Rica,2001,,,41.658,,,0.596
Costa Rica,2002,,,39.772,,,0.564
Costa Rica,2003,,,36.719,,,0.515
Costa Rica,2004,,,50.537,,,0.702
Costa Rica,2005,,,48.895,,,0.673
Costa Rica,2006,,,49.921,,,0.681
Costa Rica,2007,,,49.297,,,0.668
Costa Rica,2008,,,55.559,,,0.747
Costa Rica,2009,,,57.216,,,0.764
Costa Rica,2010,1.76,266.65,58.148,0.023,3.535,0.771
Costa Rica,2011,3.043,136.942,58.059,0.04,1.805,0.765
Costa Rica,2012,2.149,128.918,63.578,0.028,1.689,0.833
Costa Rica,2013,4.462,123.661,58.771,0.058,1.609,0.765
Costa Rica,2014,3.363,116.025,,0.044,1.501,
Costa Rica,2015,3.536,121.468,,0.046,1.563,
Cote d'Ivoire,2000,,,4.201,,,0.074
Cote d'Ivoire,2001,,,4.39,,,0.078
Cote d'Ivoire,2002,,,4.077,,,0.073
Cote d'Ivoire,2003,,,5.221,,,0.093
Cote d'Ivoire,2004,,,5.99,,,0.107
Cote d'Ivoire,2005,,,5.585,,,0.1
Cote d'Ivoire,2006,,,5.524,,,0.099
Cote d'Ivoire,2007,,,8.084,,,0.144
Cote d'Ivoire,2008,,,11.401,,,0.203
Cote d'Ivoire,2009,,,9.54,,,0.17
Cote d'Ivoire,2010,,,10.161,,,0.18
Cote d'Ivoire,2011,,,10.471,,,0.185
Cote d'Ivoire,2012,1.214,0.047,10.271,0.021,0.001,0.181
Cote d'Ivoire,2013,,,7.703,,,0.135
Croatia,1992,107.159,225.951,,1.327,2.799,
Croatia,1993,108.405,160.776,,1.338,1.985,
Croatia,1994,59.57,125.591,,0.733,1.545,
Croatia,1995,56.757,71.75,,0.696,0.88,
Croatia,1996,57.632,79.217,,0.704,0.967,
Croatia,1997,59.711,96.019,,0.727,1.169,
Croatia,1998,59.32,78.205,,0.721,0.951,
Croatia,1999,54.018,31.621,,0.655,0.383,
Croatia,2000,76.141,121.554,390.262,0.921,1.47,4.72
Croatia,2001,81.532,134.91,394.865,0.984,1.628,4.765
Croatia,2002,73.874,158.333,442.905,0.887,1.902,5.321
Croatia,2003,87.162,157.432,501.239,1.042,1.881,5.99
Croatia,2004,86.731,189.007,567.29,1.032,2.249,6.749
Croatia,2005,81.72,146.105,677.33,0.97,1.734,8.038
Croatia,2006,71.396,26.802,660.135,0.844,0.317,7.807
Croatia,2007,77.547,20.965,784.513,0.917,0.248,9.273
Croatia,2008,74.416,16.011,861.787,0.88,0.189,10.197
Croatia,2009,56.445,15.353,942.995,0.668,0.182,11.165
Croatia,2010,58.174,4.754,960.437,0.688,0.056,11.364
Croatia,2011,53.731,4.906,1090.145,0.636,0.058,12.903
Croatia,2012,50.849,7.498,1049.593,0.601,0.089,12.404
Croatia,2013,54.045,5.405,1024.276,0.637,0.064,12.073
Croatia,2014,40.11,7.078,,0.472,0.083,
Croatia,2015,40.204,4.044,,0.472,0.048,
Cuba,1990,,2.457,,,0.032,
Cuba,1991,,2.251,,,0.029,
Cuba,1992,0.093,1.77,,0.001,0.023,
Cuba,1993,0.093,1.204,,0.001,0.016,
Cuba,1994,11.151,2.857,,0.144,0.037,
Cuba,1995,9.536,3.026,,0.123,0.039,
Cuba,1996,7.572,3.649,,0.097,0.047,
Cuba,1997,9.897,2.815,,0.127,0.036,
Cuba,1999,9.901,11.431,,0.127,0.147,
Cuba,2000,,,90.523,,,1.158
Cuba,2001,,,93.005,,,1.185
Cuba,2002,,,90.774,,,1.149
Cuba,2003,,,69.267,,,0.871
Cuba,2004,,,72.38,,,0.904
Cuba,2005,9.305,15.951,83.266,0.116,0.198,1.034
Cuba,2006,8.321,14.43,107.947,0.103,0.178,1.333
Cuba,2007,6.547,18.578,97.03,0.08,0.228,1.192
Cuba,2008,6.101,16.711,103.928,0.075,0.204,1.272
Cuba,2009,5.213,15.196,123.575,0.064,0.185,1.506
Cuba,2010,,,115.821,,,1.406
Cuba,2011,5.46,16.205,139.608,0.066,0.196,1.689
Cuba,2012,3.339,12.3,134.07,0.04,0.148,1.617
Cuba,2013,2.366,12.53,135.636,0.028,0.151,1.63
Cuba,2014,2.098,11.014,,0.025,0.132,
Cyprus,1985,,61.107,,,0.814,
Cyprus,1986,,42.115,,,0.562,
Cyprus,1990,,56.091,,,0.753,
Cyprus,1991,,67.677,,,0.907,
Cyprus,1992,,71.196,,,0.952,
Cyprus,2000,,,141.845,,,1.828
Cyprus,2001,,,120.069,,,1.538
Cyprus,2002,,,153.639,,,1.955
Cyprus,2003,12.078,85.551,142.215,0.153,1.082,1.799
Cyprus,2004,8.907,84.124,215.259,0.112,1.058,2.707
Cyprus,2005,19.462,42.816,258.452,0.243,0.535,3.229
Cyprus,2006,,,300.141,,,3.731
Cyprus,2007,2.82,15.042,343.138,0.035,0.186,4.243
Cyprus,2008,10.17,9.246,401.826,0.125,0.114,4.941
Cyprus,2009,5.464,5.464,524.007,0.067,0.067,6.408
Cyprus,2010,3.595,3.595,557.699,0.044,0.044,6.782
Cyprus,2011,,7.112,583.997,,0.086,7.079
Cyprus,2012,3.524,7.048,649.216,0.043,0.085,7.844
Cyprus,2013,1.748,0.874,776.819,0.021,0.011,9.356
Cyprus,2014,3.471,,,0.042,,
Cyprus,2015,5.168,0.861,,0.062,0.01,
Czech Republic,1993,86.448,197.486,,1.079,2.464,
Czech Republic,1994,73.159,250.929,,0.906,3.106,
Czech Republic,1995,60.616,280.133,,0.745,3.444,
Czech Republic,1996,59.524,314.777,,0.727,3.845,
Czech Republic,1997,56.191,355.294,,0.682,4.314,
Czech Republic,1998,60.616,366.317,,0.732,4.425,
Czech Republic,1999,57.955,408.796,,0.697,4.914,
Czech Republic,2000,54.12,427.496,478.252,0.648,5.116,5.723
Czech Republic,2001,55.596,409.529,520.192,0.661,4.871,6.188
Czech Republic,2002,51.584,493.384,554.883,0.611,5.843,6.572
Czech Republic,2003,61.311,289.778,601.697,0.724,3.42,7.102
Czech Republic,2004,61.096,61.684,664.238,0.719,0.726,7.816
Czech Republic,2005,57.388,23.895,756.257,0.673,0.28,8.87
Czech Republic,2006,62.604,19.045,840.617,0.733,0.223,9.846
Czech Republic,2007,69.522,18.643,937.087,0.813,0.218,10.955
Czech Republic,2008,68.563,13.674,999.277,0.8,0.16,11.662
Czech Republic,2009,75.546,8.809,1055.761,0.881,0.103,12.311
Czech Republic,2010,82.869,10.884,1179.064,0.966,0.127,13.751
Czech Republic,2011,74.599,9.242,1253.057,0.871,0.108,14.636
Czech Republic,2012,82.487,14.271,1293.034,0.965,0.167,15.127
Czech Republic,2013,93.587,9.226,1333.654,1.097,0.108,15.63
Czech Republic,2014,86.458,5.891,,1.015,0.069,
Czech Republic,2015,83.443,6.827,,0.982,0.08,
Democratic Republic of Congo,2000,,,0.038,,,0.001
Democratic Republic of Congo,2001,,,0.041,,,0.001
Democratic Republic of Congo,2002,,,0.032,,,0.001
Democratic Republic of Congo,2003,,,0.041,,,0.001
Democratic Republic of Congo,2004,,,0.066,,,0.001
Democratic Republic of Congo,2005,,,0.099,,,0.002
Democratic Republic of Congo,2006,,,0.143,,,0.003
Democratic Republic of Congo,2007,,,0.123,,,0.002
Democratic Republic of Congo,2008,,,0.139,,,0.003
Democratic Republic of Congo,2009,,,0.26,,,0.005
Democratic Republic of Congo,2010,,,0.284,,,0.005
Democratic Republic of Congo,2011,,,0.205,,,0.004
Democratic Republic of Congo,2012,,,0.31,,,0.006
Democratic Republic of Congo,2013,,,0.23,,,0.004
Denmark,1985,167.394,1023.918,,2.051,12.548,
Denmark,1986,187.09,1051.843,,2.281,12.823,
Denmark,1987,196.41,928.219,,2.385,11.27,
Denmark,1988,233.355,1193.875,,2.825,14.451,
Denmark,1989,218.213,912.404,,2.635,11.017,
Denmark,1990,236.922,358.495,,2.855,4.32,
Denmark,1991,205.848,71.785,,2.481,0.865,
